cycle,range_bin,doppler_bin,output_hex
1152255000,10,7,00ee019b
1152265000,10,8,ffc9fd6a
1152275000,10,9,fef2020e
1152285000,10,10,000cfeda
1152295000,10,11,00d1001f
1152305000,10,12,ff60ff04
1152315000,10,13,ff9601f2
1152325000,10,14,00a1ff3a
1152335000,10,15,00070125
1152345000,10,16,01e4ff87
1152355000,10,17,fbbaff6a
1152365000,10,18,032e0061
1152375000,10,19,ff030080
1152385000,10,20,0085ff85
1152395000,10,21,fe60ff76
1152405000,10,22,031300f6
1152415000,10,23,fe50ffd1
1152425000,10,24,007dff5c
1152435000,10,25,0146ffcc
1152445000,10,26,fdd40110
1152455000,10,27,00dbff87
1152465000,10,28,fffcff4e
1152475000,10,29,ff72009c
1152485000,10,30,014fff26
1152495000,10,31,fe6300d7
1157565000,11,0,0222002c
1157575000,11,1,fe19ff22
1157585000,11,2,00620117
1157595000,11,3,0032ff8f
1157605000,11,4,016d005f
1157615000,11,5,fdc4fef0
1157625000,11,6,00d10159
1157635000,11,7,ffe2ffcf
1157645000,11,8,0094fecc
1157655000,11,9,ff2900a0
1157665000,11,10,00acffc4
1157675000,11,11,ffa1011e
1157685000,11,12,ff3afdd4
1157695000,11,13,00d300eb
1157705000,11,14,ffa40062
1157715000,11,15,00530094
1157725000,11,16,007aff62
1157735000,11,17,fed9ffd6
1157745000,11,18,ffb600d5
1157755000,11,19,0098ffb9
1157765000,11,20,ffc7feab
1157775000,11,21,ff7a039e
1157785000,11,22,0193fcc3
1157795000,11,23,ff020111
1157805000,11,24,01dcffbe
1157815000,11,25,fe2100c4
1157825000,11,26,0114fe98
1157835000,11,27,ff4d019a
1157845000,11,28,007eff3a
1157855000,11,29,fecb002b
1157865000,11,30,01e8ff9a
1157875000,11,31,fe39fffc
1162945000,12,0,ffd50044
1162955000,12,1,ff610009
1162965000,12,2,fff300bf
1162975000,12,3,0014fe91
1162985000,12,4,015100e9
1162995000,12,5,fe3dffe8
1163005000,12,6,00d50026
1163015000,12,7,fff400c5
1163025000,12,8,006aff0e
1163035000,12,9,fed7ff93
1163045000,12,10,00e3ffd8
1163055000,12,11,00d6028d
1163065000,12,12,fd14fb70
